file,city,date,year,month,srl_count,sa_count,mono_mides_count,unipersonal_count,sociedad_de_hecho_count,total
062018_datos-abiertos-maldonado.csv,Maldonado,2018-06,2018,junio,062018_datos-abiertos-maldonado.csv,-1,-1,-1,-1,16
salto-agosto-2017.csv,Salto,2017-08,2017,agosto,salto-agosto-2017.csv,-1,-1,-1,-1,29
122018_datos-abiertos-salto.csv,Salto,2018-12,2018,diciembre,122018_datos-abiertos-salto.csv,-1,-1,-1,-1,19
062018_datos-abiertos-montevideo.csv,Montevideo,2018-06,2018,junio,062018_datos-abiertos-montevideo.csv,-1,-1,-1,-1,60
012019_datos-abiertos-salto.csv,Salto,2019-01,2019,enero,012019_datos-abiertos-salto.csv,-1,-1,-1,-1,16
092018_datos-abiertos-salto.csv,Salto,2018-09,2018,setiembre,092018_datos-abiertos-salto.csv,-1,-1,-1,-1,23
072018_datos-abiertos-salto.csv,Salto,2018-07,2018,julio,072018_datos-abiertos-salto.csv,-1,-1,-1,-1,33
022019_datos-abiertos-salto.csv,Salto,2019-02,2019,febrero,022019_datos-abiertos-salto.csv,-1,-1,-1,-1,25
salto-febrero-2017.csv,Salto,2017-02,2017,febrero,salto-febrero-2017.csv,-1,-1,-1,-1,27
montevideo-mayo-2017.csv,Montevideo,2017-05,2017,mayo,montevideo-mayo-2017.csv,-1,-1,-1,-1,259
112018_datos-abiertos-salto.csv,Salto,2018-11,2018,noviembre,112018_datos-abiertos-salto.csv,-1,-1,-1,-1,23
042019_datos-abiertos-maldonado.csv,Maldonado,2019-04,2019,abril,042019_datos-abiertos-maldonado.csv,-1,-1,-1,-1,20
montevideo-marzo-2017.csv,Montevideo,2017-03,2017,marzo,montevideo-marzo-2017.csv,-1,-1,-1,-1,191
noviembre-2019.csv,Montevideo,2019-11,2019,noviembre,noviembre-2019.csv,-1,-1,-1,-1,7
112018_datos-abiertos-maldonado.csv,Maldonado,2018-11,2018,noviembre,112018_datos-abiertos-maldonado.csv,-1,-1,-1,-1,11
092018_datos-abiertos-montevideo.csv,Montevideo,2018-09,2018,setiembre,092018_datos-abiertos-montevideo.csv,-1,-1,-1,-1,33
salto-abril-2017.csv,Salto,2017-04,2017,abril,salto-abril-2017.csv,-1,-1,-1,-1,16
salto-enero-2017.csv,Salto,2017-01,2017,enero,salto-enero-2017.csv,-1,-1,-1,-1,7
salto-junio-2017.csv,Salto,2017-06,2017,junio,salto-junio-2017.csv,-1,-1,-1,-1,25
062019_datos-abiertos-montevideo.csv,Montevideo,2019-06,2019,junio,062019_datos-abiertos-montevideo.csv,-1,-1,-1,-1,20
montevideo-setiembre-2017.csv,Montevideo,2017-09,2017,setiembre,montevideo-setiembre-2017.csv,-1,-1,-1,-1,138
042019_datos-abiertos-salto.csv,Salto,2019-04,2019,abril,042019_datos-abiertos-salto.csv,-1,-1,-1,-1,25
salto-setiembre-2017.csv,Salto,2017-09,2017,setiembre,salto-setiembre-2017.csv,-1,-1,-1,-1,31
032019_datos-abiertos-maldonado.csv,Maldonado,2019-03,2019,marzo,032019_datos-abiertos-maldonado.csv,-1,-1,-1,-1,25
092018_datos-abiertos-maldonado.csv,Maldonado,2018-09,2018,setiembre,092018_datos-abiertos-maldonado.csv,-1,-1,-1,-1,24
montevideo-enero.csv,Montevideo,2018-01,2018,enero,montevideo-enero.csv,-1,-1,-1,-1,109
