"Year","OrganisationId","OrganistationShortName","OrganisationName","ConectionByAmount","SanctionedCompanies","Process","Description","CompletedInfo","ConcentrationOfSuppliers","AccumulationOfSuppliersByOrganisation","QuantityOfPurchasesByException","PerformanceIndex","QuantityOfPurchases"
2015,1,"P. Legislativo","Poder Legislativo",0.071,0.043,0.99,0.011,0.975,0.741,0.138,0.105,3.07,720
2015,10,"MTOP","Poder Ejecutivo",0,0.173,0.974,0.022,0.764,0.643,0.547,0.036,3.16,2531
2015,11,"MEC","Poder Ejecutivo",0.04,0.181,0.973,0.025,0.597,0.475,0.03,0.209,2.53,3185
2015,12,"MSP","Poder Ejecutivo",0,0.254,0.826,0.107,0.63,0.706,0.471,0.571,3.56,1040
2015,13,"MTSS","Poder Ejecutivo",0.001,0.189,0.931,0.061,0.549,0.757,0.126,0.241,2.86,429
2015,14,"MVOTMA","Poder Ejecutivo",0.185,0.219,0.912,0.027,0.426,0.82,0.307,0.259,3.15,435
2015,15,"MIDES","Poder Ejecutivo",0.076,0.246,0.933,0.015,0.626,0.627,0.069,0.356,2.95,635
2015,16,"P. Judicial","Poder Judicial",0,0.139,0.722,0.021,0.507,0.662,0.707,0.177,2.94,91
2015,17,"TC","Organismos con Autonomia Funcional",0,0,1,0,0,1,1,0,3,1
2015,18,"Corte Electoral","Organismos con Autonomia Funcional",0,0.689,1,0,0,0.87,0.353,0,2.91,11
2015,2,"Presidencia","Poder Ejecutivo",0.081,0.083,0.981,0.025,0.772,0.604,0.158,0.269,2.97,928
2015,24,"NA","NA",0.04,0.225,0.896,0.052,0.574,0.731,0.262,0.363,3.14,275
2015,25,"ANEP","Entes Autonomos",0.009,0.255,0.935,0.046,0.545,0.661,0.371,0.088,2.91,1225
2015,26,"UDELAR","Entes Autonomos",0.002,0.233,0.975,0.047,0.37,0.589,0.115,0.098,2.43,483
2015,27,"INAU","Servicios Descentralizados",0.003,0.142,0.997,0,0.133,0.704,0.152,0.021,2.15,249
2015,28,"BPS","Entes Autonomos",0.02,0.21,0.924,0.046,0.177,0.802,0.289,0.057,2.52,317
2015,29,"ASSE","Servicios Descentralizados",0.001,0.318,0.96,0.033,0.321,0.504,0.055,0.088,2.28,3543
2015,3,"MDN","Poder Ejecutivo",0.002,0.297,0.95,0.034,0.5,0.551,0.22,0.383,2.94,2815
2015,31,"UTEC","Entes Autonomos",0,0.187,1,0.026,0.851,0.863,0.333,0,3.26,35
2015,32,"INUMET","Servicios Descentralizados",0.029,0.156,0.997,0.002,0.884,0.839,0.218,0.053,3.18,213
2015,4,"MI","Poder Ejecutivo",0,0.176,0.988,0.011,0.719,0.352,0.893,0.038,3.18,8114
2015,5,"MEF","Poder Ejecutivo",0.034,0.121,0.931,0.061,0.78,0.501,0.062,0.188,2.68,2268
2015,50,"BCU","Entes Autonomos",0,0.076,1,0.045,0.106,0.815,0.464,0,2.51,39
2015,51,"BROU","Entes Autonomos",0.004,0.043,0.98,0.003,0.994,0.136,0.359,0.837,3.36,3547
2015,52,"BHU","Entes Autonomos",0.006,0.38,1,0.022,0.163,0.831,0.522,0,2.92,43
2015,53,"BSE","Entes Autonomos",0.941,0.143,0.909,0.013,0.988,0.255,0.938,0.953,5.14,507
2015,6,"MRREE","Poder Ejecutivo",0.003,0.072,0.956,0.01,0.864,0.733,0.411,0.115,3.16,932
2015,66,"OSE","Servicios Descentralizados",0,0.021,0.979,0.604,1,0.946,0.335,0.028,3.91,35
2015,67,"CORREO","Servicios Descentralizados",0.003,0.111,0.998,0,0.988,0.486,0.408,0.08,3.07,4434
2015,68,"ANV","Servicios Descentralizados",0,0.15,1,0,0.325,0.538,0.273,0,2.29,20
